Date,Discharge,,,,,,,
2022-08-09,94.4,,,,,,,
2022-08-10,94,,,,,,,
2022-08-11,94.7,,,,,,,
2022-08-12,95,,,,,,,
2022-08-13,94.3,,,,,,,
2022-08-14,93.6,,,,,,,
2022-08-15,93.6,,,,,,,
2022-08-16,94,,,,,,,
2022-08-17,94,,,,,93.6,-20%,-123.68
2022-08-18,94.9,,,,,1180,20%,
2022-08-19,95.3,,,,,,,
2022-08-20,100,,,,,,,
2022-08-21,97,,,,,,,
2022-08-22,97,,,,,217.28,,
2022-08-23,97.2,,,,,,,
2022-08-24,97.3,,,,,,,
2022-08-25,102,,,,,,,
2022-08-26,99.3,,,,,,,
2022-08-27,101,,,,,,,
2022-08-28,102,,,,,,,
2022-08-29,101,,,,,,,
2022-08-30,100,,,,,,,
2022-08-31,97.6,,,,,,,
2022-09-01,97.4,,,,,,,
2022-09-02,98.5,,,,,,,
2022-09-03,98.9,,,,,,,
2022-09-04,99.6,,,,,,,
2022-09-05,100,,,,,,,
2022-09-06,108,,,,,,,
2022-09-07,114,,,,,,,
2022-09-08,106,,,,,,,
2022-09-09,207,,,,,,,
2022-09-10,110,,,,,,,
2022-09-11,110,,,,,,,
2022-09-12,111,,,,,,,
2022-09-13,111,,,,,,,
2022-09-14,111,,,,,,,
2022-09-15,111,,,,,,,
2022-09-16,111,,,,,,,
2022-09-17,112,,,,,,,
2022-09-18,112,,,,,,,
2022-09-19,207,,,,,,,
2022-09-20,265,,,,,,,
2022-09-21,265,,,,,,,
2022-09-22,111,,,,,,,
2022-09-23,110,,,,,,,
2022-09-24,111,,,,,,,
2022-09-25,111,,,,,,,
2022-09-26,219,,,,,,,
2022-09-27,110,,,,,,,
2022-09-28,111,,,,,,,
2022-09-29,110,,,,,,,
2022-09-30,111,,,,,,,
2022-10-01,111,,,,,,,
2022-10-02,111,,,,,,,
2022-10-03,111,,,,,,,
2022-10-04,111,,,,,,,
2022-10-05,138,,,,,,,
2022-10-06,141,,,,,,,
2022-10-07,141,,,,,,,
2022-10-08,141,,,,,,,
2022-10-09,142,,,,,,,
2022-10-10,142,,,,,,,
2022-10-11,142,,,,,,,
2022-10-12,407,,,,,,,
2022-10-13,386,,,,,,,
2022-10-14,338,,,,,,,
2022-10-15,319,,,,,,,
2022-10-16,137,,,,,,,
2022-10-17,375,,,,,,,
2022-10-18,416,,,,,,,
2022-10-19,387,,,,,,,
2022-10-20,418,,,,,,,
2022-10-21,405,,,,,,,
2022-10-22,110,,,,,,,
2022-10-23,110,,,,,,,
2022-10-24,250,,,,,,,
2022-10-25,250,,,,,,,
2022-10-26,381,,,,,,,
2022-10-27,110,,,,,,,
2022-10-28,111,,,,,,,
2022-10-29,111,,,,,,,
2022-10-30,111,,,,,,,
2022-10-31,251,,,,,,,
2022-11-01,204,,,,,,,
2022-11-02,205,,,,,,,
2022-11-03,110,,,,,,,
2022-11-04,110,,,,,,,
2022-11-05,110,,,,,,,
2022-11-06,111,,,,,,,
2022-11-07,110,,,,,,,
2022-11-08,110,,,,,,,
2022-11-09,110,,,,,,,
2022-11-10,163,,,,,,,
2022-11-11,283,,,,,,,
2022-11-12,110,,,,,,,
2022-11-13,110,,,,,,,
2022-11-14,332,,,,,,,
2022-11-15,626,,,,,,,
2022-11-16,460,,,,,,,
2022-11-17,243,,,,,,,
2022-11-18,331,,,,,,,
2022-11-19,107,,,,,,,
2022-11-20,108,,,,,,,
2022-11-21,372,,,,,,,
2022-11-22,377,,,,,,,
2022-11-23,454,,,,,,,
2022-11-24,447,,,,,,,
2022-11-25,447,,,,,,,
2022-11-26,107,,,,,,,
2022-11-27,107,,,,,,,
2022-11-28,333,,,,,,,
2022-11-29,378,,,,,,,
2022-11-30,337,,,,,,,
2022-12-01,294,,,,,,,
2022-12-02,315,,,,,,,
2022-12-03,112,,,,,,,
2022-12-04,111,,,,,,,
2022-12-05,267,,,,,,,
2022-12-06,306,,,,,,,
2022-12-07,253,,,,,,,
2022-12-08,114,,,,,,,
2022-12-09,234,,,,,,,
2022-12-10,115,,,,,,,
2022-12-11,115,,,,,,,
2022-12-12,271,,,,,,,
2022-12-13,290,,,,,,,
2022-12-14,292,,,,,,,
2022-12-15,383,,,,,,,
2022-12-16,386,,,,,,,
2022-12-17,113,,,,,,,
2022-12-18,113,,,,,,,
2022-12-19,114,,,,,,,
2022-12-20,212,,,,,,,
2022-12-21,711,,,,,,,
2022-12-22,328,,,,,,,
2022-12-23,506,,,,,,,
2022-12-24,1180,,,,,,,
2022-12-25,1180,,,,,,,
2022-12-26,1130,,,,,,,
2022-12-27,595,,,,,,,
2022-12-28,581,,,,,,,
2022-12-29,425,,,,,,,
2022-12-30,432,,,,,,,
2022-12-31,154,,,,,,,
2023-01-01,148,,,,,,,
2023-01-02,453,,,,,,,
2023-01-03,292,,,,,,,
2023-01-04,307,,,,,,,
2023-01-05,406,,,,,,,
2023-01-06,441,,,,,,,
2023-01-07,129,,,,,,,
2023-01-08,129,,,,,,,
2023-01-09,400,,,,,,,
2023-01-10,434,,,,,,,
2023-01-11,444,,,,,,,
2023-01-12,400,,,,,,,
2023-01-13,522,,,,,,,
2023-01-14,256,,,,,,,
