Date,Inflow (cfs)
2021-08-09,66.2
2021-08-10,67.9
2021-08-11,67.0
2021-08-12,61.4
2021-08-13,86.5
2021-08-14,66.7
2021-08-15,54.9
2021-08-16,51.2
2021-08-17,65.4
2021-08-18,72.9
2021-08-19,375.9
2021-08-20,211.9
2021-08-21,213.5
2021-08-22,202.7
2021-08-23,688.4
2021-08-24,348.1
2021-08-25,239.8
2021-08-26,182.5
2021-08-27,205.8
2021-08-28,425.4
2021-08-29,216.6
2021-08-30,287.7
2021-08-31,403.8
2021-09-01,1530.0
2021-09-02,3403.4
2021-09-03,1152.5
2021-09-04,628.1
2021-09-05,459.5
2021-09-06,386.8
2021-09-07,312.5
2021-09-08,324.9
2021-09-09,1316.5
2021-09-10,604.9
2021-09-11,397.6
2021-09-12,307.9
2021-09-13,258.3
2021-09-14,230.5
2021-09-15,229.0
2021-09-16,623.4
2021-09-17,386.8
2021-09-18,315.6
2021-09-19,252.2
2021-09-20,210.4
2021-09-21,190.3
2021-09-22,177.9
2021-09-23,558.5
2021-09-24,1639.8
2021-09-25,717.8
2021-09-26,462.6
2021-09-27,360.5
2021-09-28,371.3
2021-09-29,354.3
2021-09-30,286.2
2021-10-01,246.0
2021-10-02,216.6
2021-10-03,193.4
2021-10-04,539.9
2021-10-05,570.8
2021-10-06,414.6
2021-10-07,348.1
2021-10-08,290.8
2021-10-09,250.6
2021-10-10,224.3
2021-10-11,201.1
2021-10-12,182.5
2021-10-13,185.6
2021-10-14,170.2
2021-10-15,151.3
2021-10-16,170.2
2021-10-17,264.5
2021-10-18,191.8
2021-10-19,179.5
2021-10-20,152.1
2021-10-21,142.0
2021-10-22,146.2
2021-10-23,137.2
2021-10-24,130.1
2021-10-25,211.9
2021-10-26,3233.2
2021-10-27,2506.1
2021-10-28,1126.2
2021-10-29,696.2
2021-10-30,620.3
2021-10-31,518.2
2021-11-01,427.0
2021-11-02,358.9
2021-11-03,314.0
2021-11-04,281.6
2021-11-05,256.8
2021-11-06,236.7
2021-11-07,221.2
2021-11-08,207.3
2021-11-09,196.5
2021-11-10,184.1
2021-11-11,170.2
2021-11-12,671.4
2021-11-13,611.1
2021-11-14,510.5
2021-11-15,406.9
2021-11-16,351.2
2021-11-17,304.8
2021-11-18,283.1
2021-11-19,300.1
2021-11-20,256.8
2021-11-21,233.6
2021-11-22,287.7
2021-11-23,255.3
2021-11-24,219.7
2021-11-25,207.3
2021-11-26,215.0
2021-11-27,204.2
2021-11-28,185.6
2021-11-29,177.9
2021-11-30,170.2
2021-12-01,167.1
2021-12-02,207.3
2021-12-03,246.0
2021-12-04,196.5
2021-12-05,176.4
2021-12-06,176.4
2021-12-07,190.3
2021-12-08,168.6
2021-12-09,159.3
2021-12-10,152.5
2021-12-11,205.8
2021-12-12,252.2
2021-12-13,196.5
2021-12-14,174.8
2021-12-15,162.4
2021-12-16,173.3
2021-12-17,167.1
2021-12-18,165.5
2021-12-19,284.6
2021-12-20,202.7
2021-12-21,177.9
2021-12-22,168.6
2021-12-23,159.3
2021-12-24,152.8
2021-12-25,215.0
2021-12-26,314.0
2021-12-27,244.4
2021-12-28,218.1
2021-12-29,236.7
2021-12-30,249.1
2021-12-31,253.7
2022-01-01,236.7
2022-01-02,300.1
2022-01-03,247.5
2022-01-04,201.1
2022-01-05,191.8
2022-01-06,177.9
2022-01-07,170.2
2022-01-08,168.6
2022-01-09,165.5
2022-01-10,164.0
2022-01-11,160.9
2022-01-12,159.3
2022-01-13,156.2
2022-01-14,153.6
2022-01-15,151.9
2022-01-16,149.1
