Date,Inflow (cfs)
2022-01-17,146.3
2022-01-18,143.6
2022-01-19,142.0
2022-01-20,131.2
2022-01-21,119.3
2022-01-22,118.2
2022-01-23,117.1
2022-01-24,116.8
2022-01-25,114.5
2022-01-26,113.7
2022-01-27,113.7
2022-01-28,113.5
2022-01-29,112.5
2022-01-30,112.9
2022-01-31,110.6
2022-02-01,109.4
2022-02-02,109.4
2022-02-03,140.6
2022-02-04,1287.1
2022-02-05,857.0
2022-02-06,595.6
2022-02-07,448.6
2022-02-08,317.1
2022-02-09,259.9
2022-02-10,236.7
2022-02-11,221.2
2022-02-12,232.1
2022-02-13,225.9
2022-02-14,140.0
2022-02-15,123.8
2022-02-16,165.5
2022-02-17,184.1
2022-02-18,1158.7
2022-02-19,553.8
2022-02-20,382.1
2022-02-21,297.0
2022-02-22,362.0
2022-02-23,909.6
2022-02-24,515.2
2022-02-25,379.0
2022-02-26,323.3
2022-02-27,278.5
2022-02-28,255.3
2022-03-01,221.2
2022-03-02,211.9
2022-03-03,216.6
2022-03-04,198.0
2022-03-05,184.1
2022-03-06,222.8
2022-03-07,479.6
2022-03-08,652.8
2022-03-09,386.8
2022-03-10,334.2
2022-03-11,335.7
2022-03-12,331.1
2022-03-13,298.6
2022-03-14,270.7
2022-03-15,338.8
2022-03-16,457.9
2022-03-17,420.8
2022-03-18,405.3
2022-03-19,448.6
2022-03-20,634.3
2022-03-21,431.6
2022-03-22,341.9
2022-03-23,289.3
2022-03-24,338.8
2022-03-25,457.9
2022-03-26,403.8
2022-03-27,385.2
2022-03-28,304.8
2022-03-29,253.7
2022-03-30,227.4
2022-03-31,266.1
2022-04-01,1004.0
2022-04-02,541.5
2022-04-03,444.0
2022-04-04,451.7
2022-04-05,375.9
2022-04-06,375.9
2022-04-07,1186.5
2022-04-08,3573.6
2022-04-09,1520.7
2022-04-10,966.9
2022-04-11,685.3
2022-04-12,594.0
2022-04-13,510.5
2022-04-14,434.7
2022-04-15,371.3
2022-04-16,343.4
2022-04-17,358.9
2022-04-18,309.4
2022-04-19,819.9
2022-04-20,799.8
2022-04-21,703.9
2022-04-22,584.8
2022-04-23,471.8
2022-04-24,406.9
2022-04-25,360.5
2022-04-26,354.3
2022-04-27,368.2
2022-04-28,317.1
2022-04-29,266.1
2022-04-30,239.8
2022-05-01,222.8
2022-05-02,247.5
2022-05-03,246.0
2022-05-04,286.2
2022-05-05,266.1
2022-05-06,238.2
2022-05-07,318.7
2022-05-08,247.5
2022-05-09,213.5
2022-05-10,191.8
2022-05-11,179.5
2022-05-12,168.6
2022-05-13,159.3
2022-05-14,154.7
2022-05-15,182.5
2022-05-16,235.1
2022-05-17,252.2
2022-05-18,185.6
2022-05-19,221.2
2022-05-20,246.0
2022-05-21,283.1
2022-05-22,215.0
2022-05-23,181.0
2022-05-24,156.2
2022-05-25,144.5
2022-05-26,134.1
2022-05-27,131.2
2022-05-28,179.5
2022-05-29,202.7
2022-05-30,162.4
2022-05-31,137.2
2022-06-01,162.4
2022-06-02,457.9
2022-06-03,224.3
2022-06-04,151.9
2022-06-05,120.8
2022-06-06,106.0
2022-06-07,106.9
2022-06-08,154.7
2022-06-09,340.3
2022-06-10,201.1
2022-06-11,137.5
2022-06-12,115.7
2022-06-13,125.6
2022-06-14,108.0
2022-06-15,96.8
2022-06-16,128.9
2022-06-17,120.0
2022-06-18,97.2
2022-06-19,87.1
2022-06-20,80.1
2022-06-21,78.6
2022-06-22,85.2
2022-06-23,184.1
2022-06-24,171.7
2022-06-25,117.1
2022-06-26,95.1
2022-06-27,99.5
2022-06-28,95.9
2022-06-29,84.8
2022-06-30,75.0
2022-07-01,70.9
2022-07-02,119.1
2022-07-03,112.8
2022-07-04,79.8
2022-07-05,72.6
2022-07-06,73.3
2022-07-07,70.1
2022-07-08,68.7
2022-07-09,61.7
2022-07-10,57.4
2022-07-11,55.8
2022-07-12,56.0
2022-07-13,76.3
2022-07-14,66.7
2022-07-15,56.2
2022-07-16,51.2
2022-07-17,50.6
2022-07-18,56.6
2022-07-19,90.5
2022-07-20,56.9
2022-07-21,51.8
2022-07-22,46.4
2022-07-23,45.9
2022-07-24,42.9
2022-07-25,57.4
2022-07-26,65.1
2022-07-27,50.9
2022-07-28,48.3
2022-07-29,48.7
2022-07-30,43.5
2022-07-31,39.3
2022-08-01,41.5
2022-08-02,42.2
2022-08-03,39.9
2022-08-04,37.0
2022-08-05,38.4
2022-08-06,40.7
2022-08-07,38.7
2022-08-08,37.9
