Date,Inflow 2019-2020 (cfs),Inflow 2020-2021 (cfs),Inflow 2021-2022 (cfs),Inflow 2022-2023 (cfs)
03-Jan,267.6,352.7,247.5,485.8
04-Jan,389.8,309.4,201.1,570.8
05-Jan,385.2,283.1,191.8,491.9
06-Jan,300.1,259.9,177.9,408.4
07-Jan,255.3,236.7,170.2,354.3
08-Jan,230.5,218.1,168.6,331.1
09-Jan,218.1,204.2,165.5,298.6
10-Jan,191.8,191.8,164,280
11-Jan,207.3,177.9,160.9,249.1
12-Jan,380.6,171.7,159.3,239.8
13-Jan,307.9,164,156.2,509
14-Jan,244.4,160.9,153.6,379
15-Jan,222.8,157.8,151.9,444
16-Jan,222.8,188.7,149.1,411.5
17-Jan,201.1,198,146.3,427.7
18-Jan,194.9,173.3,143.6,235.1
19-Jan,198,162.4,142,326.4
20-Jan,170.2,151.9,131.2,461
21-Jan,187.2,131.2,119.3,343.4
22-Jan,177.9,125.3,118.2,275.4
23-Jan,167.1,121.4,117.1,420.8
24-Jan,151.6,119,116.8,391.4
25-Jan,252.2,117.1,114.5,312.5
26-Jan,533.7,115.3,113.7,408.4
27-Jan,349.6,113.5,113.7,357.4
28-Jan,286.2,111.7,113.5,301.7
29-Jan,236.7,109.8,112.5,280
30-Jan,215,108.4,112.9,264.5
31-Jan,184.1,106.9,110.6,278.5
01-Feb,174.8,105.4,109.4,238.2
02-Feb,171.7,103.3,109.4,258.3
03-Feb,176.4,101.8,140.6,248.3
04-Feb,187.2,100.6,1287.1,253.3
05-Feb,202.7,99.3,857,250.8
06-Feb,208.8,98.2,595.6,165.5
07-Feb,564.7,96.7,448.6,156.2
08-Feb,448.6,95.1,317.1,168.6
09-Feb,314,93.7,259.9,147.3
10-Feb,297,92.2,236.7,160.9
11-Feb,326.4,91.4,221.2,171.7
12-Feb,337.2,90.5,232.1,149.9
13-Feb,504.3,89.6,225.9,144.6
14-Feb,451.7,90.3,140,140.5
15-Feb,324.9,89.1,123.8,137.8
16-Feb,275.4,145.3,165.5,146.8
17-Feb,247.5,208.8,184.1,168.6
18-Feb,235.1,164,1158.7,154.7
19-Feb,263,150.2,553.8,136.1
20-Feb,207.3,140.3,382.1,132.3
21-Feb,174.8,136.1,297,139.5
22-Feb,154.7,120.5,362,151
23-Feb,162.4,132.3,909.6,173.3
24-Feb,170.2,134,515.2,247.5
25-Feb,191.8,165.5,379,210.4
26-Feb,224.3,165.5,323.3,229
27-Feb,688.4,162.4,278.5,219.7
28-Feb,410,182.5,255.3,224.3
01-Mar,244.4,255.3,221.2,222
02-Mar,222.8,266.1,211.9,201.1
03-Mar,249.1,264.5,216.6,256.8
04-Mar,375.9,210.4,198,261.4
05-Mar,300.1,198,184.1,270.7
06-Mar,252.2,185.6,222.8,303.2
07-Mar,225.9,167.1,479.6,295.5
08-Mar,199.6,160.9,652.8,253.7
09-Mar,190.3,167.1,386.8,229
10-Mar,190.3,225.9,334.2,229
11-Mar,202.7,362,335.7,259.9
12-Mar,182.5,909.6,331.1,250.6
13-Mar,317.1,767.3,298.6,250.6
14-Mar,276.9,512.1,270.7,295.5
15-Mar,218.1,386.8,338.8,261.4
16-Mar,188.7,324.9,457.9,247.5
17-Mar,184.1,290.8,420.8,332.6
18-Mar,177.9,611.1,405.3,445.5
19-Mar,422.3,815.3,448.6,379
20-Mar,439.3,479.6,634.3,287.7
21-Mar,414.6,428.5,431.6,270.7
22-Mar,306.3,422.3,341.9,315.6
23-Mar,280,416.1,289.3,423.9
24-Mar,380.6,631.2,338.8,538.4
25-Mar,399.1,1055.1,457.9,457.9
26-Mar,349.6,714.7,403.8,465.6
27-Mar,362,481.1,385.2,416.1
28-Mar,348.1,728.6,304.8,411.5
29-Mar,552.3,792.1,253.7,408.4
30-Mar,536.8,453.3,227.4,352.7
31-Mar,578.6,377.5,266.1,306.3
01-Apr,430.1,474.9,1004,422.3
02-Apr,351.2,365.1,541.5,388.3
03-Apr,301.7,309.4,444,323.3
04-Apr,270.7,280,451.7,307.9
05-Apr,242.9,252.2,375.9,273.8
06-Apr,218.1,227.4,375.9,263
07-Apr,198,216.6,1186.5,239.8
08-Apr,204.2,201.1,3573.6,208.8
09-Apr,280,188.7,1520.7,196.5
10-Apr,343.4,179.5,966.9,181
11-Apr,272.3,179.5,685.3,168.6
12-Apr,246,309.4,594,159.3
13-Apr,841.6,420.8,510.5,150.5
14-Apr,962.2,298.6,434.7,140.2
15-Apr,512.1,283.1,371.3,135.5
16-Apr,394.5,309.4,343.4,143.9
17-Apr,335.7,269.2,358.9,227.4
18-Apr,375.9,241.3,309.4,196.5
19-Apr,388.3,224.3,819.9,165.5
20-Apr,352.7,210.4,799.8,156.2
21-Apr,309.4,198,703.9,148.8
