Date,DO
2023-05-31,8.1
2023-06-01,8.1
2023-06-02,8
2023-06-03,7.9
2023-06-04,8
2023-06-05,7.8
2023-06-06,7.6
2023-06-07,7.5
2023-06-08,7.4
2023-06-09,7.4
2023-06-10,7.4
2023-06-11,7.2
2023-06-12,7
2023-06-13,7.1
2023-06-14,6.8
2023-06-15,7
2023-06-16,6.7
2023-06-17,6.8
2023-06-18,6.6
2023-06-19,6.3
2023-06-20,6.3
2023-06-21,6.3
2023-06-22,6.2
2023-06-23,7.5
2023-06-24,9.3
2023-06-25,9.4
2023-06-26,9.3
2023-06-27,9.3
2023-06-28,9.3
2023-06-29,9.4
2023-06-30,9.1
2023-07-01,8.5
2023-07-02,8.4
2023-07-03,8.3
2023-07-04,8.8
2023-07-05,8.4
2023-07-06,8.1
2023-07-07,8.2
2023-07-08,8.1
2023-07-09,8
2023-07-10,7.8
2023-07-11,7.5
2023-07-12,7.5
2023-07-13,7.7
2023-07-14,8.1
2023-07-15,7.7
2023-07-16,7.6
2023-07-17,7.7
2023-07-18,7.4
2023-07-19,7.5
2023-07-20,7.5
2023-07-21,7.5
2023-07-22,7.9
2023-07-23,7.8
2023-07-24,8.1
2023-07-25,7.7
2023-07-26,8.2
2023-07-27,8.5
2023-07-28,7.3
2023-07-29,7.4
2023-07-30,7.7
2023-07-31,7.7
2023-08-01,7.8
2023-08-02,8.6
2023-08-03,7.8
2023-08-04,8
2023-08-05,8
2023-08-06,7.9
2023-08-07,7.8
2023-08-08,8.2
